Course Name,University,Difficulty Level,Course Rating,Course URL,Course Description,Skills,Domain
Build an App in Android Studio using Static Files,Coursera Project Network,Beginner,4.1,https://www.coursera.org/learn/build-an-app-in-android-studio-using-static-files,"In this project you will build an Android app with text files, images, strings, and a string array that are saved as resources in the project (can be accessed by reference throughout the app). You will use the java programming language and will be given an explanation of the usefulness of using resources. In different parts of the res (resources) directory of your Android Studio project you will put text files, , create strings and all of these will be accessible for all appropriate widgets in your app. This app will have a piece of text (from the strings file) asking the user to select the name of an author from a spinner (a type of drop down menu where the user selects from a set of options - from the strings file). There will be an image (ImageView) below the spinner which will change (from the drawable directory) to match whichever author the user selects. Beneath this will be a piece of text (TextView) with the name of a book and the year it was published (from the strings file) which will change to match the selected author. Finally, there will be another piece of text (TextView) which will contain an appropriate quote (read from the appropriate text file in a raw directory) from the named book  When the user closes the app the program will remember the final choice made by the user in their previous visit. You will upload an APK of the app to a website called Appetize.io to test the app.  Projects in Series 1: 1. Build a Simple App in Android Studio with Java 2. Build a Persistent Storage App in Android Studio 3. Build a Linear Layout App in Android Studio 4. Build a Relative Layout App in Android Studio 5. Build a Table Layout App in Android Studio  Projects in Series 2: 1. Build an App in Android Studio using Resources 2. Build an App in Android Studio using Static Files 3. Build an App in Android Studio using Read - Write 4. Build an App in Android Studio using onTouch 5. Build an App in Android Studio using Activities",quotation  download  Java Programming  drop-down list  android studio  project mine  java (software platform)  project  ordered pair  upload computer-science mobile-and-web-development,androiddeveloper
Service-Oriented Architecture,University of Alberta,Advanced,4.4,https://www.coursera.org/learn/service-oriented-architecture,"Based on an understanding of architectural styles, you will review architectures for web applications, then explore the basics of Service-Oriented Architecture (SOA) in two approaches: Web Services (WS*) and Representational State Transfer (REST) architecture.   In the Capstone Project you will connect a Java-based Android application with Elasticsearch, a web service with a REST application programmer interface (API).  After completing this course, you will be able to:  � Describe SOA (Service-Oriented Architecture) to structure web-based systems. � Explain WS* services (i.e., SOAP over HTTP, WSDL, UDDI, BPEL).\t � Apply REST architecture (i.e., JSON over HTTP, URI).\t � Identify REST design principles.\t � Create a system using REST interfaces.\t � Apply microservice architecture.",architecture  Software Architecture  application programming interfaces  software  web service  representational state transfer  web  microservices  soap (protocol)  service-oriented architecture computer-science software-development,androiddeveloper
Build a Relative Layout App in Android Studio,Coursera Project Network,Beginner,4.5,https://www.coursera.org/learn/build-relative-layout-app-android-studio,"In this course you will build an Android app with a Relative Layout in Android Studio with the java programming language and will be given an explanation of Relative layout.  This app has a piece of text asking the user to ""Tell me more about yourself"". Beneath this is three pieces of text with input boxes next to them.  The pieces of text say Name, Date of Birth, and Time of birth.   While you update the name input just by typing text you will be presented with a date picker dialog and a time picker dialog to assist in inputting the relevant date and time. Below these input boxes are two buttons. One to submit the information entered and one to exit the app.  When you press the submit button the text at the top of the screen will change from ""Tell me more about yourself"" to "" NAME was born on DATE at TIME"".  The exit button will close the app and the program will remember the choices made by the user in their previous visit.  Projects in Series 1: 1. Build a Simple App in Android Studio with Java 2. Build a Persistent Storage App in Android Studio 3. Build a Linear Layout App in Android Studio 4. Build a Relative Layout App in Android Studio 5. Build a Table Layout App in Android Studio  Projects in Series 2: 1. Build an App in Android Studio using Resources 2. Build an App in Android Studio using Static Files 3. Build an App in Android Studio using Read - Write 4. Build an App in Android Studio using onTouch 5. Build an App in Android Studio using Activities",exit (system call)  Java Programming  display devices  text box  Android Development  user interface  android studio  Computer Programming  Javascript  java (software platform) computer-science mobile-and-web-development,androiddeveloper
Build a Persistent Storage App in Android Studio,Coursera Project Network,Beginner,4.4,https://www.coursera.org/learn/build-persistent-storage-app-android-studio,"In this course you will build an Android app with persistent storage (specifically Shared Preferences) in Android Studio.  What is meant by persistent storage is that when a user exits an app and then restart it, the app will remember some information that the user gave it previously.  This app has four input boxes where the user is being asked to enter a name, address, phone number, and email address. Beneath that section the user will be asked to use radio buttons to indicate the part of the day they prefer, Morning, Afternoon, Evening, or Night.  The ability to save and retrieve information is a fundamental part of practically all apps and is essential knowledge for any aspiring app developer and those who like to create apps out of curiosity for fun.  Projects in Series 1: 1. Build a Simple App in Android Studio with Java 2. Build a Persistent Storage App in Android Studio 3. Build a Linear Layout App in Android Studio 4. Build a Relative Layout App in Android Studio 5. Build a Table Layout App in Android Studio  Projects in Series 2: 1. Build an App in Android Studio using Resources 2. Build an App in Android Studio using Static Files 3. Build an App in Android Studio using Read - Write 4. Build an App in Android Studio using onTouch 5. Build an App in Android Studio using Activities",i-deas  radio button  android studio  text box  telephone number  persistence (computer science)  exit (system call)  persistence  Software Engineering  Android Development computer-science mobile-and-web-development,androiddeveloper
Engineering Maintainable Android Apps,Vanderbilt University,Advanced,4.5,https://www.coursera.org/learn/engineeringandroidapps,"Engineering Maintainable Android Apps, which is a 4 week MOOC that shows by example various methods for engineering maintainable Android apps, including test-driven development methods and how to develop/run unit tests using JUnit and Robotium (or equivalent automated testing frameworks for Android), as well as how to successfully apply common Java/Android software patterns to improve the extensibility and clarity of Android apps. Students will work on the appropriate automated unit quizzes, based on the material covered in the lecture videos. These lessons will demonstrate the benefits of good software engineering practices that are targeted at creating maintainable code for mobile apps.  There will be roughly 3-4 hours of student engagement time per week, including video lectures, and quizzes. The ordering of the modules within the course is designed to be flexible.  In particular, students can watch the videos in whatever order suits their experience and needs, e.g., they may want to watch the unit testing videos prior to the software pattern videos if they prefer to learn about unit testing first.",Android Development  software  Application Design  android studio  unit testing  security  integration testing  Software Engineering  vulnerability (computing)  Software Testing computer-science mobile-and-web-development,androiddeveloper
Build a Linear Layout App in Android Studio,Coursera Project Network,Beginner,4.5,https://www.coursera.org/learn/build-linear-layout-app-android-studio,"In this course you will build an Android app with a Linear Layout in Android Studio with the java programming language and will be given an explanation of linear layout.  This app has a piece of text asking the user to pick the type of movies they like over five check boxes for Action, Drama, Science Fiction, Romance, and Fantasy. Beneath these check boxes is another piece of text asking if watching movies is the favorite activity of the user with a toggle button for them to indicate ""yes"" or ""no"".  Depending on if the user selects ""yes"" or ""no"" for the toggle button another piece of text will change between ""What other activities do you like?"" and ""What do you prefer?"". There is then five more check boxes for Books, Art, Music, Sport, and Theater for the user to indicate activities they like.  Finally, there will be a button to exit the app.  The app will remember the choices made by the user in their previous visit.  Projects in Series 1: 1. Build a Simple App in Android Studio with Java 2. Build a Persistent Storage App in Android Studio 3. Build a Linear Layout App in Android Studio 4. Build a Relative Layout App in Android Studio 5. Build a Table Layout App in Android Studio  Projects in Series 2: 1. Build an App in Android Studio using Resources 2. Build an App in Android Studio using Static Files 3. Build an App in Android Studio using Read - Write 4. Build an App in Android Studio using onTouch 5. Build an App in Android Studio using Activities",ordered pair  Software Engineering  exit (system call)  xml  checkbox  Java Programming  Android Development  android studio  Computer Programming  interfaces computer-science mobile-and-web-development,androiddeveloper
Build an App in Android Studio using Read-Write,Coursera Project Network,Beginner,4.7,https://www.coursera.org/learn/build-an-app-in-android-studio-using-read-write,"In this project you will build an Android app that creates text files in internal storage when needed, will write to those files, and will read from those files.  The app will also interact with text files, images, strings, and a string array that are saved as resources in the project (can be accessed by reference throughout the app). This app will have a piece of text (from the strings file) asking the user to select the name of an author from a spinner (a type of drop down menu where the user selects from a set of options - from the strings file). There will be an image (ImageView) below the spinner which will change (from the drawable directory) to match whichever author the user selects. Beneath this will be a piece of text (TextView) with the name of a book and the year it was published (from the strings file) which will change to match the selected author. There will be another piece of text (TextView) which will contain an appropriate quote (read from the appropriate text file in a raw directory) from the named book  Below this quote will be two buttons, one with ""Read Review"" on it, and the second with ""Submit Review"" on it.  When the user clicks the ""Read Review"" button a TextView will appear containing a the previously submitted review (if one exists). The user will also be given the option to ""Submit Review"" whiich when clicked gives access to an imput box (EditText) into which a review can be typed.  When a ""Submit"" button is then clicked this review is written to a text file in internal storage (not resources) to a review file for that author.  If the file does not exist then the app will create the file first, then write the review to it. When the user closes the app the program will remember the final choice made by the user in their previous visit. When launched the app will also read all information in the review files in internal storage and bring the reviews into the app for use. You will upload an APK of the app to a website called Appetize.io to test the app.  Projects in Series 1: 1. Build a Simple App in Android Studio with Java 2. Build a Persistent Storage App in Android Studio 3. Build a Linear Layout App in Android Studio 4. Build a Relative Layout App in Android Studio 5. Build a Table Layout App in Android Studio  Projects in Series 2: 1. Build an App in Android Studio using Resources 2. Build an App in Android Studio using Static Files 3. Build an App in Android Studio using Read - Write 4. Build an App in Android Studio using onTouch 5. Build an App in Android Studio using Activities",resource  arrays  saving  ordered pair  internality  reference (computer science)  Android Development  drop-down list  android studio  project computer-science mobile-and-web-development,androiddeveloper
Object-Oriented Design,University of Alberta,Advanced,4.7,https://www.coursera.org/learn/object-oriented-design,"This course takes Java beginners to the next level by covering object-oriented analysis and design. You will discover how to create modular, flexible, and reusable software, by applying object-oriented design principles and guidelines. And, you will be able to communicate these designs in a visual notation known as Unified Modelling Language (UML).  You will be challenged in the Capstone Project to apply your knowledge of object-oriented design by evolving and documenting the Java codebase for an Android application with corresponding UML documentation.  After completing this course, you will be able to:  � Apply the Class Responsibility Collaborator (CRC) technique to analyze and design the object-oriented model for a problem.\t � Explain and apply object-oriented modeling principles and their purpose (e.g., abstraction, encapsulation, decomposition, generalization). � Explain and apply different types of inheritance � Explain the difference between association, aggregation, and composition dependencies. � Express object-oriented models as Unified Modeling Language (UML) class diagrams. � Translate between UML class diagrams and equivalent Java code. � Apply design guidelines for modularity, separation of concerns, information hiding, and conceptual integrity to create a flexible, reusable, maintainable design. � Explain the tradeoff between cohesion and coupling.",object-oriented programming  software design  java (software platform)  architecture  software  uml tools  language  Computer Programming  modeling  analysis computer-science software-development,androiddeveloper
Developing Android Apps with App Inventor,The Hong Kong University of Science and Technology,Advanced,4.1,https://www.coursera.org/learn/app-inventor-android,"The course will give students hands-on experience in developing interesting Android applications. No previous experience in programming is needed, and the course is suitable for students with any level of computing experience. MIT App Inventor will be used in the course. It is a blocks-based programming tool that allows everyone, even novices, to start programming and build fully functional apps for Android devices. Students are encouraged to use their own Android devices for hands-on testing and exploitation.",user interface  Android Development  viewer  app inventor for android  Application Development  java annotation  Computer Programming  web  Mobile Development  Google Maps computer-science mobile-and-web-development,androiddeveloper
Build Your First Android App (Project-Centered Course),CentraleSup�lec,Beginner,4.2,https://www.coursera.org/learn/android-app,"What you�ll achieve:  In this project-centered course*, you�ll design, build, and distribute your own unique application for the Android mobile platform. We�ll provide you with a set of customizable building blocks that you can assemble to create many different types of apps, and that will help you become familiar with many important specificities of Android development. When you complete the project, in addition to having a personalized app that you can use and share, you�ll have the skills and background you need to move on to more Advanced coursework in Android development.    What you�ll need to get started:  This project-centered course is designed for learners who have some prior experience programming in Java, such as an introductory college course or Coursera�s Java Programming Specialization (https://www.coursera.org/specializations/java-programming).  You will need a computer with a stable Internet connection, but you will not need an Android phone - we�ll use free software that you can use to emulate a phone on your computer. We'll use Android Studio as IDE; it is compatible with most computer and operating systems. You can find detailed system requirements here: https://developer.android.com/sdk/index.html#Requirements.  *About Project-Centered Courses: Project-centered courses are designed to help you complete a personally meaningful real-world project, with your instructor and a community of learners with similar goals providing guidance and suggestions along the way. By actively applying new concepts as you learn, you�ll master the course content more efficiently; you�ll also get a head start on using the skills you gain to make positive changes in your life and career. When you complete the course, you�ll have a finished project that you�ll be proud to use and share.   Time: 10 hours of study, 10 hours of active project work",Mobile Development  android studio  Application Development  software  Android Development  Software Engineering  java (software platform)  Computer Programming  Java Programming  mobile app computer-science mobile-and-web-development,androiddeveloper
Introduction to Android graphics,Imperial College London,Intermediate,3.5,https://www.coursera.org/learn/intro-android-graphics,"This course will bring you up to speed with the fundamentals of 2D graphics and 3D graphics in Android.  This course provides the ideal primer for more Advanced courses and applications, for example, OpenGL, as well as Virtual Reality in Android.   This course is unique because it covers the key concepts and theory of 2D and 3D graphics while also showing you how to implement these in Android practically.  This provides a solid understanding and grasp of the subject matter which will be applicable in a variety of settings.    The final assignment will provide you with an artefact which you can use for your professional portfolio to evidence your skills.",Mobile Development  Computer Graphics  2d computer graphics  perspective projection  android studio  opengl  Android Development  Scaling  gimbal lock  three-dimensional graph computer-science mobile-and-web-development,androiddeveloper
Build an App in Android Studio using Resources,Coursera Project Network,Beginner,4.6,https://www.coursera.org/learn/build-an-app-in-android-studio-using-resources,"In this project you will build an Android app with images, strings, and a string array that are saved as resources in the project (can be accessed by reference throughout the app). You will use the java programming language and will be given an explanation of the usefulness of using resources. In different parts of the res (resources) directory of your Android Studio project you will put images, create strings, and create a string array and all of these will be accessible for all appropriate widgets in your app. This app will have a piece of text (from the strings file) asking the user to select the name of an author from a spinner (a type of drop down menu where the user selects from a set of options - from the strings file). There will be an image (ImageView) below the spinner which will change (from the drawable directory) to match whichever author the user selects. Beneath this will be a piece of text (TextView) with the name of a book and the year it was published (from the strings file) which will change to match the selected author. Finally, there will be another piece of text (TextView) which will contain an appropriate quote (from the strings file) from the named book  When the user closes the app the program will remember the final choice made by the user in their previous visit. You will upload an APK of the app to a website called Appetize.io to test the app.  Projects in Series 1: 1. Build a Simple App in Android Studio with Java 2. Build a Persistent Storage App in Android Studio 3. Build a Linear Layout App in Android Studio 4. Build a Relative Layout App in Android Studio 5. Build a Table Layout App in Android Studio  Projects in Series 2: 1. Build an App in Android Studio using Resources 2. Build an App in Android Studio using Static Files 3. Build an App in Android Studio using Read - Write 4. Build an App in Android Studio using onTouch 5. Build an App in Android Studio using Activities",android studio  java (software platform)  upload  project  drop-down list  Computer Programming  Android Development  download  interfaces  Java Programming computer-science mobile-and-web-development,androiddeveloper
Build an App in Android Studio using onTouch,Coursera Project Network,Beginner,4.5,https://www.coursera.org/learn/build-an-app-in-android-studio-using-ontouch,"In this project you will build an Android app that that uses onTouch functionality to show certain information when a user clicks (Action Down) on an image, and then have the information change when the user releases (Action Up). The app also creates text files in internal storage when needed, will write to those files, and will read from those files.  The app will interact with text files, images, strings, and a string array that are saved as resources in the project (can be accessed by reference throughout the app). This app will have a piece of text (from the strings file) asking the user to select the name of an author from a spinner (a type of drop down menu where the user selects from a set of options - from the strings file). There will be an image (ImageView) below the spinner which will change (from the drawable directory) to match whichever author the user selects. Beneath this will be a piece of text (TextView) with the name of a book and the year it was published (from the strings file) which will change to match the selected author. There will be another piece of text (TextView) which will contain an appropriate quote (read from the appropriate text file in a raw directory) from the named book  Below this quote will be two buttons, one with ""Read Review"" on it, and the second with ""Submit Review"" on it.  When the user clicks the ""Read Review"" button a TextView will appear containing a the previously submitted review (if one exists). The user will also be given the option to ""Submit Review"" whiich when clicked gives access to an imput box (EditText) into which a review can be typed.  When a ""Submit"" button is then clicked this review is written to a text file in internal storage (not resources) to a review file for that author.  If the file does not exist then the app will create the file first, then write the review to it. When the user closes the app the program will remember the final choice made by the user in their previous visit. When launched the app will also read all information in the review files in internal storage and bring the reviews into the app for use. You will upload an APK of the app to a website called Appetize.io to test the app.  Projects in Series 1: 1. Build a Simple App in Android Studio with Java 2. Build a Persistent Storage App in Android Studio 3. Build a Linear Layout App in Android Studio 4. Build a Relative Layout App in Android Studio 5. Build a Table Layout App in Android Studio  Projects in Series 2: 1. Build an App in Android Studio using Resources 2. Build an App in Android Studio using Static Files 3. Build an App in Android Studio using Read - Write 4. Build an App in Android Studio using onTouch 5. Build an App in Android Studio using Activities",drop-down list  ordered pair  Data Analysis  Booking  quotation  upload  github  Android Development  android studio  logic gate computer-science mobile-and-web-development,androiddeveloper
Creating an Interactive Story with Flutter,Coursera Project Network,Beginner,3.9,https://www.coursera.org/learn/story-creating-flutter,"In this 1-hour long project-based course, you will create your own interactive story app, and learn some of Dart and Flutter basics. Flutter is an open-source and free UI toolkit built on Dart programming language. Dart is a client-optimized programming language for apps on multiple platforms. It is developed by Google and is used to build mobile, desktop, server, and web applications.  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",language  Mobile Development  Computer Programming  dart (programming language)  iOS Development  android studio  interactivity  object-oriented programming  interactive storytelling  web computer-science mobile-and-web-development,androiddeveloper
Programming Mobile Applications for Android Handheld Systems: Part 1,"University of Maryland, College Park",Intermediate,4.5,https://www.coursera.org/learn/android-programming,"This course introduces you to the design and implementation of Android applications for mobile devices. You will develop an app from scratch, assuming a basic knowledge of Java, and learn how to set up Android Studio, work with various Activities and create simple user interfaces to make your apps run smoothly.",user interface  software  Computer Programming  lecture  mobile app  Android Development  Mobile Development  Software Engineering  html  android studio computer-science mobile-and-web-development,androiddeveloper
Kotlin for Java Developers,JetBrains,Beginner,4.6,https://www.coursera.org/learn/kotlin-for-java-developers,"The Kotlin programming language is a modern language that gives you more power for your everyday tasks. Kotlin is concise, safe, pragmatic, and focused on interoperability with Java code. It can be used almost everywhere Java is used today: for server-side development, Android apps, and much more. Kotlin is 100% compatible with all existing Java frameworks, and has good tooling support. It�s a pragmatic language with a very low learning curve, and can be quickly grasped by Java developers. Kotlin code might be compiled not only to JVM bytecode but to JavaScript and Native code as well, but this course is focused on Kotlin/JVM.  This course aims to share with you the power and the beauty of Kotlin. We'll have a basic overview of the language, as well as a discussion of many corner cases, especially concerning Java interoperability. The course is based on your Java experience; it shows the similarities between the two languages and focuses on what's going to be different.  Note that this course won't cover the programming fundamentals. We'll discuss: basic syntax, nullability, functional programming with Kotlin, object-oriented programming with Kotlin, the power of the Kotlin standard library, and Java interoperability.",jakobson's functions of language  standard library  kotlin (programming language)  interoperability  Computer Programming  euler's totient function  inline function  functional programming  java (software platform)  language computer-science software-development,androiddeveloper
Build an App in Android Studio using Activities,Coursera Project Network,Beginner,4.4,https://www.coursera.org/learn/build-an-app-in-android-studio-using-activities,"In this project you will create an Android app that that uses four activities . You will begin with an Android Studio project that has an ActivityMain.java file (with nothing added to it) and an activity_main.xml file (with nothing added to it).  You will create three new activities in this project, onTouch (onTouch.java & activity_on_touch.xml), ReadReview (ReadReview.java & activity_read_review.xml), and WriteReview (WriteReview.java & activity_write_review.xml). You will have access to all of the relevant content (code and comments) needed for those files in text files so that you can copy and paste into the appropriate java and xml files in the project.  You will make adjustments to the AndroidManifest.xml file in the project which will allow your app to switch between activities when instructed to do so by the actions of the user. Once we have created our activities, inserted all of the relevant code to our java and xml files, and updated our Manifest file, we will build an APK of your app. You will then upload the APK of the app to a website called Appetize.io where you will test the app.  Projects in Series 1: 1. Build a Simple App in Android Studio with Java 2. Build a Persistent Storage App in Android Studio 3. Build a Linear Layout App in Android Studio 4. Build a Relative Layout App in Android Studio 5. Build a Table Layout App in Android Studio  Projects in Series 2: 1. Build an App in Android Studio using Resources 2. Build an App in Android Studio using Static Files 3. Build an App in Android Studio using Read - Write 4. Build an App in Android Studio using onTouch 5. Build an App in Android Studio using Activities",kivy  Application Design  xml  xamarin  Google App Engine  Software Engineering  Android Development  project  miui  mobile app computer-science mobile-and-web-development,androiddeveloper
